"month","journal_category","journal","journal_short_name","issn","title","publication_date","date_basis","doi","doi_url","abstract_available","social_and_natural_environment_topics","social_and_natural_environment_keywords","resident_health_topics","resident_health_keywords","geographical_methods_topics","geographical_methods_keywords","screening_rule"
"2026-05","公共健康与流行病学","Epidemiology","Epidemiology","1044-3983","Industrial Air Toxicant Exposure and Individual Mortality: Evidence from the Americans’ Changing Lives Cohort, 1986–2019","2026-05-18","published-online","10.1097/ede.0000000000002005","https://doi.org/10.1097/ede.0000000000002005","yes","社会经济水平","poverty","心理健康 | 生理健康与其他疾病","mental health | health risk | individual mortality | mortality risk","GIS 与空间分析","geographic","Must match all 3 keyword groups in Crossref title or abstract"
"2026-05","公共健康与流行病学","Epidemiology","Epidemiology","1044-3983","The long arm of childhood policy: Historical schooling laws and COVID-19 pandemic-era mortality","2026-05-19","published-online","10.1097/ede.0000000000002002","https://doi.org/10.1097/ede.0000000000002002","yes","社会经济水平","education","生理健康与其他疾病","population health | all-cause mortality | COVID-19","因果推断","natural experiment","Must match all 3 keyword groups in Crossref title or abstract"
"2026-05","综合科学","Proceedings of the National Academy of Sciences","PNAS","0027-8424","Alleviating administrative burdens in rental assistance promotes access and program efficiency","2026-05-12","published-online","10.1073/pnas.2512756123","https://doi.org/10.1073/pnas.2512756123","yes","社会经济水平 | 建成环境与公共服务","income | housing","生理健康与其他疾病","COVID-19","因果推断","causal inference","Must match all 3 keyword groups in Crossref title or abstract"
"2026-05","GIS、城市计算与遥感","Remote Sensing","Remote Sensing","2072-4292","Characterizing Savanna Tree Canopy Heights Using GEDI and Spatially Continuous Multi-Source Data at a Landscape Level","2026-05-12","published-online","10.3390/rs18101523","https://doi.org/10.3390/rs18101523","yes","绿地与植被","park","健康行为","cycling","GIS 与空间分析","mapping","Must match all 3 keyword groups in Crossref title or abstract"
"2026-05","GIS、城市计算与遥感","Remote Sensing","Remote Sensing","2072-4292","Remote Sensing Monitoring of Leaf Litterfall Dynamics in Eastern China’s Subtropical Forests Using Field-Based Litterfall Data","2026-05-16","published-online","10.3390/rs18101604","https://doi.org/10.3390/rs18101604","yes","绿地与植被 | 气候变化与自然灾害","vegetation | drought","健康行为","cycling","遥感","remote sensing | satellite imagery","Must match all 3 keyword groups in Crossref title or abstract"
"2026-05","GIS、城市计算与遥感","Remote Sensing","Remote Sensing","2072-4292","Rapid Expansion of Global Shrub Encroachment Across Aridity Gradients and Its Effects on Vegetation Dynamics","2026-05-29","published-online","10.3390/rs18111749","https://doi.org/10.3390/rs18111749","yes","绿地与植被","vegetation","健康行为","cycling","遥感","remote sensing","Must match all 3 keyword groups in Crossref title or abstract"
