"month","matched_articles","generated_at"
"2026-01","5","2026-06-02T01:48:06Z"
"2026-02","6","2026-06-02T01:52:51Z"
"2026-03","5","2026-06-02T01:55:11Z"
"2026-04","5","2026-06-02T01:57:25Z"
"2026-05","6","2026-06-02T02:00:13Z"
